Error_Code,Category,Subcategory,Description,Severity,Affected_Domains,Example_Trigger,Remediation_Priority
ERR-LOG-001,Logical Error,Logical Hallucination,"AI fabricates a theorem, lemma, or logical rule that does not exist in standard mathematics.",High,"Linear Algebra, Calculus, Abstract Algebra","Claiming that det(A+B) = det(A) + det(B) for arbitrary square matrices.",P0 - Immediate
ERR-LOG-002,Logical Error,Invalid Inference,"AI draws a conclusion that does not follow from the premises or prior steps.",High,"Proof-based problems, Calculus optimization","Concluding a matrix is diagonalizable solely because it is square.",P0 - Immediate
ERR-LOG-003,Logical Error,Circular Reasoning,"AI uses the conclusion as a premise within its own proof.",High,"Proof construction, Induction","Using the statement to be proved as an assumption in an induction step.",P0 - Immediate
ERR-LOG-004,Logical Error,Converse Error,"AI confuses a theorem with its converse (e.g., if P then Q vs. if Q then P).",High,"Linear Algebra, Real Analysis","Stating that if eigenvalues are distinct then the matrix is symmetric.",P0 - Immediate
ERR-LOG-005,Logical Error,Step-Skipping,"AI omits one or more critical intermediate steps making the solution unverifiable.",Medium,"All domains","Jumping from characteristic polynomial to eigenvalues without showing factorization.",P1 - High
ERR-CMP-001,Computational Error,Arithmetic Mistake,"AI makes a basic arithmetic error (addition, multiplication, etc.).",Medium,"All domains","Computing 3 x 4 = 11 inside a determinant expansion.",P1 - High
ERR-CMP-002,Computational Error,Algebraic Manipulation Error,"AI incorrectly simplifies, factors, or expands algebraic expressions.",Medium,"Calculus, Linear Algebra","Incorrectly factoring x^2 - 5x + 6 as (x-1)(x-6).",P1 - High
ERR-CMP-003,Computational Error,Matrix Operation Error,"AI incorrectly performs matrix multiplication, transposition, or inversion.",High,"Linear Algebra","Computing AB where dimensions are incompatible or entries are wrong.",P0 - Immediate
ERR-CMP-004,Computational Error,Limit/Derivative/Integral Error,"AI incorrectly computes a limit, derivative, or integral.",Medium,"Calculus","Stating d/dx[sin(x^2)] = cos(x^2) without applying the chain rule.",P1 - High
ERR-CMP-005,Computational Error,Determinant Calculation Error,"AI produces an incorrect determinant value through cofactor expansion or row reduction.",High,"Linear Algebra","Incorrectly computing a 3x3 determinant by missing a sign in cofactor expansion.",P0 - Immediate
ERR-NTN-001,Notation Error,LaTeX Syntax Error,"AI produces malformed LaTeX that does not render correctly.",Low,"All domains","Writing \frac{a}{b without closing brace.",P2 - Medium
ERR-NTN-002,Notation Error,Notation Mismatch,"AI uses inconsistent or non-standard mathematical notation.",Medium,"All domains","Switching between bold and arrow notation for vectors within the same solution.",P1 - High
ERR-NTN-003,Notation Error,Symbol Abuse,"AI overloads or misuses a mathematical symbol.",Medium,"Linear Algebra, Calculus","Using the same symbol for both a matrix and its determinant.",P1 - High
ERR-NTN-004,Notation Error,Missing Quantifier,"AI omits universal or existential quantifiers in formal statements.",Low,"Proof-based problems","Stating 'x > 0 implies f(x) > 0' without specifying 'for all x'.",P2 - Medium
ERR-PED-001,Pedagogical Error,Insufficient Justification,"AI provides a correct answer but with inadequate explanation for the target audience.",Medium,"All domains","Stating 'by inspection' for a non-trivial eigenvalue computation.",P1 - High
ERR-PED-002,Pedagogical Error,Overcomplicated Solution,"AI uses unnecessarily advanced methods when simpler approaches exist.",Low,"All domains","Using Jordan Normal Form when direct diagonalization suffices for a 2x2 matrix.",P2 - Medium
ERR-PED-003,Pedagogical Error,Incorrect Difficulty Calibration,"AI provides a solution at the wrong level for the specified course/textbook.",Medium,"All domains","Using graduate-level spectral theory in an introductory Linear Algebra problem.",P1 - High
ERR-PED-004,Pedagogical Error,Missing Verification Step,"AI does not verify its answer (e.g., substitution check, dimension check).",Medium,"All domains","Finding eigenvalues but not verifying Av = lambda*v.",P1 - High
ERR-FMT-001,Formatting Error,Broken Equation Alignment,"AI produces poorly aligned multi-step equations that hinder readability.",Low,"All domains","Using inconsistent alignment points in a chain of equalities.",P2 - Medium
ERR-FMT-002,Formatting Error,Missing Display Mode,"AI uses inline math for complex expressions that require display mode.",Low,"All domains","Writing a 3x3 matrix in inline mode instead of display mode.",P2 - Medium
ERR-FMT-003,Formatting Error,Inconsistent Structure,"AI does not follow a logical structure (Given/Find/Solution/Verification).",Low,"All domains","Mixing problem restatement with solution steps without clear separation.",P2 - Medium
ERR-CNT-001,Content Error,Misquoted Theorem,"AI states a well-known theorem incorrectly or with missing conditions.",High,"All domains","Stating the Rank-Nullity Theorem without specifying finite-dimensional vector spaces.",P0 - Immediate
ERR-CNT-002,Content Error,Wrong Domain/Range,"AI applies a method or theorem outside its valid domain of applicability.",High,"Calculus, Linear Algebra","Applying diagonalization procedure to a non-square matrix.",P0 - Immediate
ERR-CNT-003,Content Error,Outdated or Non-Standard Method,"AI uses a deprecated or non-standard approach not found in the reference textbook.",Low,"All domains","Using a non-standard definition of vector space that conflicts with OpenStax.",P2 - Medium
